email, name, surname, team
john.doe@example.com, John, Doe, CVVS
jane.smith@example.com, Jane, Smith, CVVS
alice.johnson@example.com, Alice, Johnson, CVVS
robert.brown@example.com, Robert, Brown, CVVS
emily.davis@example.com, Emily, Davis, CVVS
michael.miller@example.com, Michael, Miller, CVVS
sarah.wilson@example.com, Sarah, Wilson, CVVS
david.moore@example.com, David, Moore, CVVS
linda.taylor@example.com, Linda, Taylor, CVVS
james.anderson@example.com, James, Anderson, CVVS
laura.thomas@example.com, Laura, Thomas, BCNS
kevin.jackson@example.com, Kevin, Jackson, BCNS
susan.white@example.com, Susan, White, BCNS
george.harris@example.com, George, Harris, BCNS
barbara.martin@example.com, Barbara, Martin, BCNS
steven.lee@example.com, Steven, Lee, BCNS
betty.walker@example.com, Betty, Walker, BCNS
brian.hall@example.com, Brian, Hall, BCNS
dorothy.young@example.com, Dorothy, Young, BCNS
matthew.king@example.com, Matthew, King, BCNS
