employeeNumber,email, name, surname, team
2622, john.doe@example.com, John, Doe, CVVS
7098, jane.smith@example.com, Jane, Smith, CVVS
18207, alice.johnson@example.com, Alice, Johnson, CVVS
45130, robert.brown@example.com, Robert, Brown, CVVS
11551, emily.davis@example.com, Emily, Davis, CVVS
77, michael.miller@example.com, Michael, Miller, CVVS
79, sarah.wilson@example.com, Sarah, Wilson, CVVS
81, david.moore@example.com, David, Moore, CVVS
85, linda.taylor@example.com, Linda, Taylor, CVVS
4785, james.anderson@example.com, James, Anderson, CVVS
45140, laura.thomas@example.com, Laura, Thomas, BCNS
97, kevin.jackson@example.com, Kevin, Jackson, BCNS
98, susan.white@example.com, Susan, White, BCNS
99, george.harris@example.com, George, Harris, BCNS
21510, barbara.martin@example.com, Barbara, Martin, BCNS
14761, steven.lee@example.com, Steven, Lee, BCNS
7099, betty.walker@example.com, Betty, Walker, BCNS
9832, brian.hall@example.com, Brian, Hall, BCNS
18208, dorothy.young@example.com, Dorothy, Young, BCNS
9999, matthew.king@example.com, Matthew, King, BCNS
